NumCasa;Nombre;IngresoPersonal;Empleo;Edad;Sexo;EstadoCivil;NivelEducativo;Grado;barrio
1414;Maria Alejandro Mendoza Martinez;0;Desempleado;7;F;Soltero;Primaria;1;Barrio Arnoldo Alemán
1036;Lucia Alejandro Ruiz Flores;17000;Albañil;41;F;Casado;Secundaria;5;Barrio Arnoldo Alemán
1070;Fernanda Alejandro Perez Torres;0;Desempleado;60;F;Casado;Primaria;4;Barrio Los Pinos
1463;Jose Alejandro Flores Torres;12000;Trabajador doméstico;44;M;Casado;Primaria;3;Barrio Los Pinos
1156;Miguel Alejandro Ruiz Castro;17000;Albañil;60;M;Casado;Secundaria;5;San Judas
1074;Miguel Alejandro Hernandez Castro;0;Desempleado;51;M;Soltero;Primaria;1;Baká
1342;Lucia Alejandro Hernandez Martinez;21000;Costur`ero;36;F;Casado;Preescolar;1;Monimbó
1385;Mario Alejandro Lopez Flores;13000;Conductor de taxi;72;M;Casado;Primaria;2;Monimbó
1254;Ana Alejandro Ruiz Hernandez;10000;Vendedor;74;F;Casado;Técnico;1;Barrio Guadalupe
1022;Maria Alejandro Ruiz Flores;21000;Costur`ero;51;F;Soltero;Primaria;4;San Judas
1005;Mario Alejandro Hernandez Torres;0;Desempleado;2;M;Soltero;Preescolar;2;Monimbó
1136;Maria Alejandro Mendoza Ruiz;0;Desempleado;49;F;Soltero;Primaria;2;Barrio El Rosario
1271;Maria Alejandro Mendoza Lopez;0;Desempleado;12;F;Soltero;Primaria;4;Barrio Medardo Andino
1026;Paula Alejandro Martinez Gonzalez;11500;Dependiente de tienda;32;F;Casado;Técnico;1;19 de Julio
1156;Lucia Alejandro Lopez Hernandez;14500;Cocinero;28;F;Casado;Preescolar;3;San Judas
1207;Elena Alejandro Flores Flores;9500;Técnico Agropecuario;40;F;Casado;Técnico;3;Barrio La Cruz
1050;Marta Alejandro Torres Mendoza;9000;Obrero;68;F;Casado;Primaria;2;Baká
1316;Jose Alejandro Castro Perez;18000;Carpintero;41;M;Soltero;Secundaria;5;Colina del Verbo
1277;Andres Alejandro Perez Mendoza;0;Desempleado;5;M;Soltero;Preescolar;1;Colina del Verbo
1452;Jose Alejandro Ruiz Lopez;0;Desempleado;22;M;Soltero;Técnico;1;Sol de libertad
1326;Elena Alejandro Flores Gonzalez;15500;Enfermero;65;F;Casado;Universidad;5;Barrio Guadalupe
1221;Pedro Alejandro Castro Lopez;12500;Repartidor;50;M;Casado;Primaria;4;Barrio El Rosario
1210;Daniel Alejandro Lopez Gonzalez;19000;Electricista;77;M;Casado;Secundaria;5;Colina del Verbo
1372;Ana Alejandro Hernandez Mendoza;13500;Barbero;31;F;Soltero;Preescolar;3;Monimbó
1447;Marta Alejandro Perez Castro;0;Desempleado;30;F;Soltero;Preescolar;2;María Auxiliadora
1215;Fernanda Alejandro Hernandez Torres;13000;Conductor de taxi;32;F;Soltero;Preescolar;3;Sol de libertad
1061;Sofia Alejandro Martinez Ruiz;0;Desempleado;13;F;Soltero;Secundaria;1;Barrio 19 de Julio
1017;Pedro Alejandro Martinez Torres;14500;Cocinero;28;M;Soltero;Preescolar;1;19 de Julio
1208;Juan Alejandro Perez Hernandez;0;Desempleado;47;M;Casado;Primaria;5;Urbanización San Miguel
1237;Carlos Alejandro Flores Gonzalez;0;Desempleado;31;M;Soltero;Primaria;1;Barrio Obrero
1455;Lucia Alejandro Ruiz Perez;17000;Albañil;35;F;Soltero;Secundaria;5;Baká
1343;Jose Alejandro Lopez Perez;0;Desempleado;10;M;Soltero;Primaria;2;Urbanización San Miguel
1288;Ana Alejandro Gonzalez Ruiz;0;Desempleado;77;F;Soltero;Primaria;3;Barrio El Calvario
1046;Lucia Alejandro Mendoza Mendoza;14000;Mesero;80;F;Casado;Preescolar;3;Barrio Los Pinos
1189;Luis Alejandro Lopez Martinez;21000;Costur`ero;51;M;Soltero;Preescolar;1;Barrio Los Pinos
1203;Kevin Alejandro Flores Gonzalez;0;Desempleado;59;M;Soltero;Primaria;3;Barrio El Calvario
1430;Marta Alejandro Hernandez Martinez;0;Desempleado;17;F;Soltero;Secundaria;1;Barrio 19 de Julio
1107;Mario Alejandro Lopez Martinez;8500;Campesino;77;M;Casado;Primaria;1;Barrio Guadalupe
1354;Juan Alejandro Gonzalez Gonzalez;10500;Cajero;23;M;Soltero;Técnico;1;Altamira del Este
1039;Juan Alejandro Perez Torres;12500;Repartidor;21;M;Soltero;Técnico;1;Sol de libertad
1485;Jose Alejandro Gonzalez Martinez;11500;Dependiente de tienda;56;M;Soltero;Técnico;1;Baká
1023;Valeria Alejandro Mendoza Perez;12000;Trabajador doméstico;60;F;Casado;Primaria;4;Baká
1485;Camila Alejandro Ruiz Flores;0;Desempleado;67;F;Soltero;Primaria;1;Baká
1493;Jose Alejandro Martinez Castro;17000;Albañil;14;M;Soltero;Secundaria;5;Barrio Medardo Andino
1013;Sofia Alejandro Mendoza Gonzalez;0;Desempleado;9;F;Soltero;Primaria;1;Altamira del Este
1271;Kevin Alejandro Perez Perez;14000;Mesero;47;M;Casado;Primaria;1;Barrio Medardo Andino
1394;Lucia Alejandro Castro Castro;18000;Carpintero;18;F;Casado;Secundaria;5;Baká
1289;Daniel Alejandro Martinez Flores;13500;Barbero;62;M;Soltero;Primaria;4;Colina del Verbo
1194;Lucia Alejandro Flores Flores;8500;Campesino;27;F;Soltero;Preescolar;1;Barrio Medardo Andino
1498;Andres Alejandro Ruiz Lopez;0;Desempleado;60;M;Casado;Primaria;2;Barrio El Calvario
1489;Carlos Alejandro Flores Martinez;0;Desempleado;21;M;Soltero;Técnico;1;Barrio El Calvario
1006;Luis Alejandro Mendoza Hernandez;10000;Vendedor;61;M;Casado;Técnico;1;Barrio Arnoldo Alemán
1176;Valeria Alejandro Torres Castro;17000;Albañil;65;F;Casado;Secundaria;5;Altamira del Este
1076;Valeria Alejandro Hernandez Martinez;15500;Enfermero;39;F;Casado;Universidad;5;Sol de libertad
1371;Andres Alejandro Flores Ruiz;0;Desempleado;60;M;Soltero;Preescolar;2;19 de Julio
1356;Juan Alejandro Mendoza Gonzalez;13500;Barbero;21;M;Soltero;Técnico;1;Barrio El Calvario
1395;Lucia Alejandro Gonzalez Lopez;0;Desempleado;23;F;Soltero;Primaria;1;Urbanización San Miguel
1391;Maria Alejandro Hernandez Ruiz;9000;Obrero;73;F;Casado;Primaria;4;María Auxiliadora
1350;Maria Alejandro Torres Gonzalez;0;Desempleado;10;F;Soltero;Primaria;4;Barrio El Rosario
1127;Miguel Alejandro Perez Ruiz;0;Desempleado;6;M;Soltero;Primaria;2;María Auxiliadora
1406;Ana Alejandro Hernandez Mendoza;9000;Obrero;31;F;Soltero;Preescolar;2;San Ramón
1405;Jose Alejandro Martinez Ruiz;14000;Mesero;70;M;Soltero;Primaria;1;Altamira del Este
1068;Lucia Alejandro Ruiz Perez;9000;Obrero;62;F;Casado;Primaria;5;Barrio El Calvario
1064;Lucia Alejandro Torres Castro;10000;Vendedor;40;F;Soltero;Técnico;1;Baká
1181;Pedro Alejandro Mendoza Flores;13000;Conductor de taxi;61;M;Soltero;Primaria;3;19 de Julio
1090;Valeria Alejandro Perez Martinez;21000;Costur`ero;26;F;Soltero;Primaria;1;19 de Julio
1419;Fernanda Alejandro Castro Perez;11500;Dependiente de tienda;77;F;Casado;Técnico;1;María Auxiliadora
1080;Luis Alejandro Mendoza Torres;14500;Cocinero;43;M;Casado;Preescolar;3;Barrio Los Pinos
1500;Carlos Alejandro Castro Mendoza;13500;Barbero;72;M;Soltero;Primaria;4;Baká
1146;Maria Alejandro Perez Torres;0;Desempleado;75;F;Soltero;Primaria;4;Barrio Obrero
1207;Pedro Alejandro Torres Ruiz;10000;Vendedor;17;M;Soltero;Técnico;1;Barrio La Cruz
1155;Pedro Alejandro Torres Martinez;14500;Cocinero;18;M;Soltero;Técnico;1;Colina del Verbo
1265;Sofia Alejandro Lopez Perez;17000;Albañil;67;F;Casado;Secundaria;5;Barrio El Calvario
1023;Paula Alejandro Castro Mendoza;0;Desempleado;10;F;Soltero;Primaria;1;Baká
1186;Valeria Alejandro Castro Ruiz;8500;Campesino;62;F;Soltero;Primaria;5;Colina del Verbo
1341;Juan Alejandro Hernandez Perez;0;Desempleado;37;M;Soltero;Primaria;4;Urbanización San Miguel
1223;Daniel Alejandro Castro Lopez;8500;Campesino;45;M;Casado;Preescolar;1;Altamira del Este
1478;Paula Alejandro Castro Torres;9000;Obrero;56;F;Soltero;Primaria;2;Urbanización San Miguel
1389;Valeria Alejandro Castro Lopez;0;Desempleado;11;F;Soltero;Primaria;1;Sol de libertad
1055;Miguel Alejandro Martinez Gonzalez;10000;Vendedor;59;M;Soltero;Técnico;1;San Judas
1312;Pedro Alejandro Gonzalez Martinez;13500;Barbero;71;M;Casado;Primaria;1;Barrio Los Pinos
1486;Elena Alejandro Gonzalez Flores;10000;Vendedor;17;F;Soltero;Técnico;1;Barrio 19 de Julio
1004;Pedro Alejandro Flores Torres;0;Desempleado;57;M;Casado;Primaria;5;Barrio Medardo Andino
1420;Lucia Alejandro Gonzalez Martinez;0;Desempleado;51;F;Soltero;Primaria;1;María Auxiliadora
1319;Sofia Alejandro Gonzalez Flores;0;Desempleado;23;F;Soltero;Preescolar;3;San Judas
1056;Fernanda Alejandro Lopez Torres;14000;Mesero;50;F;Soltero;Primaria;2;19 de Julio
1191;Maria Alejandro Hernandez Ruiz;16000;Médico general;67;F;Casado;Universidad;5;Barrio Guadalupe
1352;Lucia Alejandro Perez Perez;0;Desempleado;53;F;Soltero;Primaria;1;Barrio Arnoldo Alemán
1332;Daniel Alejandro Torres Mendoza;10000;Vendedor;37;M;Soltero;Técnico;1;San Ramón
1493;Andres Alejandro Martinez Perez;9500;Técnico Agropecuario;29;M;Soltero;Técnico;3;Barrio Medardo Andino
1232;Daniel Alejandro Ruiz Mendoza;0;Desempleado;7;M;Soltero;Primaria;1;Barrio Medardo Andino
1430;Andres Alejandro Torres Perez;0;Desempleado;2;M;Soltero;Preescolar;2;Barrio 19 de Julio
1100;Andres Alejandro Mendoza Hernandez;14500;Cocinero;78;M;Casado;Primaria;1;Barrio El Calvario
1088;Kevin Alejandro Castro Hernandez;0;Desempleado;5;M;Soltero;Preescolar;1;Barrio Guadalupe
1475;Valeria Alejandro Torres Lopez;0;Desempleado;32;F;Soltero;Preescolar;3;Barrio Arnoldo Alemán
1424;Mario Alejandro Martinez Hernandez;0;Desempleado;73;M;Casado;Preescolar;1;19 de Julio
1120;Marta Alejandro Martinez Flores;0;Desempleado;53;F;Soltero;Preescolar;3;Barrio Guadalupe
1118;Luis Alejandro Torres Hernandez;0;Desempleado;11;M;Soltero;Primaria;1;Barrio Medardo Andino
1204;Mario Alejandro Hernandez Perez;11500;Dependiente de tienda;43;M;Soltero;Técnico;1;Barrio Arnoldo Alemán
1262;Lucia Alejandro Ruiz Hernandez;15500;Enfermero;30;F;Soltero;Universidad;5;Colina del Verbo
1200;Kevin Alejandro Torres Lopez;0;Desempleado;4;M;Soltero;Preescolar;2;Barrio La Cruz
1087;Pedro Alejandro Lopez Gonzalez;18000;Carpintero;46;M;Soltero;Secundaria;5;Barrio Los Pinos
1159;Maria Alejandro Torres Perez;0;Desempleado;66;F;Soltero;Preescolar;2;Barrio El Rosario
1307;Jose Alejandro Gonzalez Martinez;14000;Mesero;48;M;Soltero;Primaria;3;Barrio 19 de Julio
1328;Fernanda Alejandro Ruiz Lopez;11500;Dependiente de tienda;16;F;Soltero;Técnico;1;Barrio La Cruz
1319;Maria Alejandro Lopez Torres;0;Desempleado;42;F;Soltero;Preescolar;1;San Judas
1478;Carlos Alejandro Perez Perez;15000;Maestro;27;M;Casado;Universidad;5;Urbanización San Miguel
1036;Daniel Alejandro Flores Martinez;18000;Carpintero;21;M;Soltero;Secundaria;5;Barrio Arnoldo Alemán
1165;Pedro Alejandro Hernandez Lopez;12500;Repartidor;45;M;Soltero;Primaria;2;Barrio El Rosario
1262;Daniel Alejandro Mendoza Martinez;14500;Cocinero;64;M;Soltero;Primaria;1;Colina del Verbo
1385;Marta Alejandro Hernandez Torres;18000;Carpintero;63;F;Soltero;Secundaria;5;Monimbó
1212;Daniel Alejandro Flores Castro;0;Desempleado;5;M;Soltero;Preescolar;1;Barrio La Cruz
1456;Lucia Alejandro Hernandez Ruiz;18000;Carpintero;30;F;Soltero;Secundaria;5;Barrio La Cruz
1410;Mario Alejandro Martinez Ruiz;10000;Vendedor;79;M;Casado;Técnico;1;María Auxiliadora
1404;Fernanda Alejandro Lopez Castro;0;Desempleado;77;F;Casado;Primaria;2;Baká
1099;Daniel Alejandro Martinez Gonzalez;9500;Técnico Agropecuario;26;M;Casado;Técnico;3;Barrio 19 de Julio
1043;Marta Alejandro Ruiz Castro;0;Desempleado;12;F;Soltero;Primaria;1;Monimbó
1490;Carlos Alejandro Gonzalez Martinez;0;Desempleado;79;M;Casado;Primaria;1;Colina del Verbo
1081;Daniel Alejandro Ruiz Perez;0;Desempleado;67;M;Soltero;Preescolar;2;San Ramón
1390;Daniel Alejandro Ruiz Martinez;0;Desempleado;14;M;Soltero;Secundaria;1;Barrio La Cruz
1243;Jose Alejandro Perez Castro;0;Desempleado;69;M;Soltero;Preescolar;3;María Auxiliadora
1114;Andres Alejandro Perez Flores;17000;Albañil;28;M;Soltero;Secundaria;5;Barrio El Calvario
1251;Lucia Alejandro Hernandez Ruiz;0;Desempleado;28;F;Soltero;Preescolar;1;Baká
1492;Juan Alejandro Castro Lopez;0;Desempleado;5;M;Soltero;Preescolar;1;Barrio Arnoldo Alemán
1213;Pedro Alejandro Lopez Torres;15500;Enfermero;47;M;Soltero;Universidad;5;Barrio Medardo Andino
1438;Camila Alejandro Lopez Gonzalez;0;Desempleado;48;F;Soltero;Primaria;1;María Auxiliadora
1325;Elena Alejandro Mendoza Torres;0;Desempleado;4;F;Soltero;Preescolar;1;Sol de libertad
1432;Fernanda Alejandro Lopez Torres;10000;Vendedor;24;F;Soltero;Técnico;1;Monimbó
1221;Sofia Alejandro Hernandez Martinez;11000;Comerciante Informal;33;F;Soltero;Preescolar;1;Barrio El Rosario
1087;Lucia Alejandro Gonzalez Mendoza;14500;Cocinero;20;F;Casado;Técnico;1;Barrio Los Pinos
1275;Valeria Alejandro Lopez Hernandez;13500;Barbero;80;F;Casado;Preescolar;1;Altamira del Este
1253;Juan Alejandro Martinez Torres;19000;Electricista;43;M;Soltero;Secundaria;5;Baká
1277;Paula Alejandro Castro Martinez;15500;Enfermero;66;F;Casado;Universidad;5;Colina del Verbo
1330;Mario Alejandro Flores Flores;9000;Obrero;49;M;Soltero;Primaria;3;San Judas
1452;Juan Alejandro Gonzalez Lopez;10500;Cajero;37;M;Casado;Técnico;1;Sol de libertad
1188;Pedro Alejandro Flores Ruiz;11500;Dependiente de tienda;64;M;Casado;Técnico;1;San Judas
1130;Elena Alejandro Gonzalez Ruiz;0;Desempleado;17;F;Soltero;Secundaria;1;Barrio Obrero
1048;Lucia Alejandro Hernandez Perez;0;Desempleado;3;F;Soltero;Preescolar;1;San Ramón
1395;Marta Alejandro Perez Perez;12000;Trabajador doméstico;40;F;Soltero;Primaria;2;Urbanización San Miguel
1141;Carlos Alejandro Lopez Ruiz;12500;Repartidor;76;M;Casado;Primaria;1;El Calavario
1006;Marta Alejandro Martinez Gonzalez;11000;Comerciante Informal;28;F;Casado;Preescolar;2;Barrio Arnoldo Alemán
1174;Jose Alejandro Flores Castro;8500;Campesino;48;M;Casado;Primaria;3;Altamira del Este
1394;Kevin Alejandro Hernandez Ruiz;8500;Campesino;46;M;Casado;Preescolar;1;Baká
1455;Fernanda Alejandro Torres Hernandez;0;Desempleado;68;F;Casado;Primaria;1;Baká
1228;Maria Alejandro Torres Mendoza;0;Desempleado;62;F;Soltero;Primaria;5;Barrio Arnoldo Alemán
1017;Camila Alejandro Hernandez Martinez;12000;Trabajador doméstico;46;F;Casado;Primaria;4;19 de Julio
1010;Carlos Alejandro Lopez Torres;0;Desempleado;6;M;Soltero;Primaria;1;Barrio Guadalupe
1005;Marta Alejandro Flores Flores;0;Desempleado;10;F;Soltero;Primaria;3;Monimbó
1488;Paula Alejandro Lopez Mendoza;8500;Campesino;15;F;Soltero;Secundaria;1;Barrio La Cruz
1242;Luis Alejandro Perez Lopez;8500;Campesino;44;M;Soltero;Primaria;3;Colina del Verbo
1147;Maria Alejandro Torres Ruiz;14500;Cocinero;66;F;Casado;Primaria;4;San Judas
1157;Jose Alejandro Mendoza Perez;11500;Dependiente de tienda;67;M;Soltero;Técnico;1;Baká
1047;Luis Alejandro Mendoza Lopez;0;Desempleado;11;M;Soltero;Primaria;1;Barrio El Calvario
1044;Marta Alejandro Torres Flores;8500;Campesino;44;F;Soltero;Primaria;1;Barrio El Calvario
1171;Sofia Alejandro Gonzalez Martinez;8500;Campesino;29;F;Soltero;Primaria;2;Barrio La Cruz
1320;Paula Alejandro Lopez Hernandez;0;Desempleado;53;F;Soltero;Preescolar;3;Altamira del Este
1405;Mario Alejandro Perez Martinez;0;Desempleado;77;M;Casado;Preescolar;1;Altamira del Este
1324;Fernanda Alejandro Mendoza Martinez;0;Desempleado;71;F;Casado;Primaria;4;Urbanización San Miguel
1402;Maria Alejandro Ruiz Perez;0;Desempleado;2;F;Soltero;Preescolar;2;Altamira del Este
1030;Luis Alejandro Castro Perez;10500;Cajero;49;M;Soltero;Técnico;1;Barrio La Cruz
1201;Andres Alejandro Gonzalez Gonzalez;13500;Barbero;34;M;Soltero;Primaria;4;Barrio Obrero
1162;Daniel Alejandro Mendoza Gonzalez;0;Desempleado;52;M;Casado;Preescolar;3;Monimbó
1350;Fernanda Alejandro Ruiz Lopez;12500;Repartidor;18;F;Soltero;Técnico;1;Barrio El Rosario
1240;Marta Alejandro Ruiz Castro;0;Desempleado;69;F;Casado;Preescolar;2;El Calavario
1389;Kevin Alejandro Ruiz Mendoza;15500;Enfermero;76;M;Casado;Universidad;5;Sol de libertad
1357;Sofia Alejandro Martinez Castro;13500;Barbero;76;F;Casado;Preescolar;3;Urbanización San Miguel
1408;Miguel Alejandro Castro Castro;12000;Trabajador doméstico;71;M;Casado;Primaria;3;Barrio Arnoldo Alemán
1282;Sofia Alejandro Torres Martinez;0;Desempleado;71;F;Soltero;Preescolar;3;Urbanización San Miguel
1474;Daniel Alejandro Gonzalez Flores;11000;Comerciante Informal;50;M;Soltero;Primaria;3;El Calavario
1420;Daniel Alejandro Ruiz Torres;0;Desempleado;13;M;Soltero;Secundaria;1;María Auxiliadora
1402;Elena Alejandro Mendoza Mendoza;0;Desempleado;10;F;Soltero;Primaria;2;Altamira del Este
1339;Juan Alejandro Martinez Castro;0;Desempleado;1;M;Soltero;Preescolar;1;Barrio Medardo Andino
1061;Ana Alejandro Mendoza Hernandez;0;Desempleado;13;F;Soltero;Secundaria;1;Barrio 19 de Julio
1464;Fernanda Alejandro Gonzalez Martinez;11000;Comerciante Informal;79;F;Casado;Preescolar;1;Barrio Obrero
1403;Juan Alejandro Hernandez Lopez;9000;Obrero;14;M;Soltero;Secundaria;1;Barrio Obrero
